Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;13.01.2024 23:00;0;-0,4;0;2,6
Strømtangen Fyr;SN17000;14.01.2024 00:00;0;-0,9;0;2,7
Strømtangen Fyr;SN17000;14.01.2024 01:00;0;-0,8;0;3,2
Strømtangen Fyr;SN17000;14.01.2024 02:00;0;-0,5;0;3,6
Strømtangen Fyr;SN17000;14.01.2024 03:00;0;-0,5;1;4,6
Strømtangen Fyr;SN17000;14.01.2024 04:00;0;-0,8;0;2,4
Strømtangen Fyr;SN17000;14.01.2024 05:00;0;-0,1;0;2,6
Strømtangen Fyr;SN17000;14.01.2024 06:00;0;-2,5;0;3,3
Strømtangen Fyr;SN17000;14.01.2024 07:00;0;-1,7;0;2
Strømtangen Fyr;SN17000;14.01.2024 08:00;0;-2,7;0;2
Strømtangen Fyr;SN17000;14.01.2024 09:00;0;-2,5;0;2,5
Strømtangen Fyr;SN17000;14.01.2024 10:00;0;-2,2;0;2,9
Strømtangen Fyr;SN17000;14.01.2024 11:00;0;-2,7;0;2,4
Strømtangen Fyr;SN17000;14.01.2024 12:00;0;-2,1;0;2,9
Strømtangen Fyr;SN17000;14.01.2024 13:00;0;-1,9;0;3,1
Strømtangen Fyr;SN17000;14.01.2024 14:00;0;-1,4;0;2,8
Strømtangen Fyr;SN17000;14.01.2024 15:00;0;-1,8;0;3,3
Strømtangen Fyr;SN17000;14.01.2024 16:00;0;-1,3;0;3,4
Strømtangen Fyr;SN17000;14.01.2024 17:00;0;0;30;2,6
Strømtangen Fyr;SN17000;14.01.2024 18:00;0,3;-0,1;60;4,4
Strømtangen Fyr;SN17000;14.01.2024 19:00;0,2;0,1;60;5,2
Strømtangen Fyr;SN17000;14.01.2024 20:00;0,1;-0,1;55;6,3
Strømtangen Fyr;SN17000;14.01.2024 21:00;0,3;-1,4;60;4,8
Strømtangen Fyr;SN17000;14.01.2024 22:00;1,7;-1,1;60;7
Strømtangen Fyr;SN17000;14.01.2024 23:00;0,2;-2,1;60;7,2
Strømtangen Fyr;SN17000;15.01.2024 00:00;0,5;-3,3;60;12,3
Strømtangen Fyr;SN17000;15.01.2024 01:00;0,1;-3,7;60;12,5
Strømtangen Fyr;SN17000;15.01.2024 02:00;0;-4,2;32;10,2
Strømtangen Fyr;SN17000;15.01.2024 03:00;0,1;-4,8;5;10,5
